B/S,Contract,Product,Product Description,avgPrice,filledQty,Fill Time,Status,_priceFormat,_priceFormatType,_tickSize,Timestamp,Date,Quantity,Text,Type,Limit Price,Stop Price,decimalLimit,decimalStop,Filled Qty,Avg Fill Price,decimalFillAvg
Sell,NQM4,NQ,E-Mini NASDAQ 100,,,,Canceled,-2,0,0.25,8:43:40 PM,4/17/2024,3,Tradingview,Stop,,17773.5,,17773.5,,,
Sell,NQM4,NQ,E-Mini NASDAQ 100,17801.5,3,8:44:22 PM,Filled,-2,0,0.25,8:44:22 PM,4/17/2024,3,Exit,Market,,,,,3,17801.5,17801.5
Buy,NQM4,NQ,E-Mini NASDAQ 100,17792,3, 8:44:39 PM,Filled,-2,0,0.25,8:44:28 PM,4/17/2024,3,Tradingview,Limit,17792,,17792,,3,17792,17792
Sell,NQM4,NQ,E-Mini NASDAQ 100,17774.25,3,8:51:52 PM,Filled,-2,0,0.25,8:50:36 PM,4/17/2024,3,Tradingview,Stop,,17774.5,,17774.5,3,17774.25,17774.25
Sell,NQM4,NQ,E-Mini NASDAQ 100,,,,Canceled,-2,0,0.25,8:47:41 PM,4/17/2024,3,Tradingview,Limit,17861,,17861,,,,
Buy,NQM4,NQ,E-Mini NASDAQ 100,17786.75,1, 8:52:08 PM,Filled,-2,0,0.25,8:52:08 PM,4/17/2024,1,Tradingview,Market,,,,,1,17786.75,17786.75
Sell,NQM4,NQ,E-Mini NASDAQ 100,,,,Canceled,-2,0,0.25,8:52:14 PM,4/17/2024,1,Tradingview,Stop,,17763.75,,17763.75,,,
Sell,NQM4,NQ,E-Mini NASDAQ 100,17785,1, 8:52:45 PM,Filled,-2,0,0.25,8:52:45 PM,4/17/2024,1,Exit,Market,,,,,1,17785,17785
Buy,NQM4,NQ,E-Mini NASDAQ 100,17788.25,2,8:54:36 PM,Filled,-2,0,0.25,8:54:36 PM,4/17/2024,2,Tradingview,Market,,,,,2,17788.25,17788.25
Sell,NQM4,NQ,E-Mini NASDAQ 100,,,,Canceled,-2,0,0.25,8:59:24 PM,4/17/2024,3,Tradingview,Stop,,17779.5,,17779.5,,,
Buy,NQM4,NQ,E-Mini NASDAQ 100,17794,1,8:57:17 PM,Filled,-2,0,0.25, 8:57:17 PM,4/17/2024,1,Tradingview,Market,,,,,1,17794,17794
Sell,NQM4,NQ,E-Mini NASDAQ 100,,,,Canceled,-2,0,0.25,8:58:09 PM,4/17/2024,3,Tradingview,Limit,17858.5,,17858.5,,,,
Sell,NQM4,NQ,E-Mini NASDAQ 100,17783.75,3,8:59:39 PM,Filled,-2,0,0.25,8:59:39 PM,4/17/2024,3,Exit,Market,,,,,3,17783.75,17783.75
Buy,NQM4,NQ,E-Mini NASDAQ 100,17756.75,3,9:01:08 PM,Filled,-2,0,0.25,9:01:08 PM,4/17/2024,3,Tradingview,Market,,,,,3,17756.75,17756.75
Sell,NQM4,NQ,E-Mini NASDAQ 100,17745.75,3, 9:02:04 PM,Filled,-2,0,0.25,9:01:15 PM,4/17/2024,3,Tradingview,Stop,,17745.75,,17745.75,3,17745.75,17745.75
Buy,ESM4,ES,E-Mini S&P 500,5073,1, 9:29:46 PM,Filled,-2,0,0.25,9:29:46 PM,4/17/2024,1,Tradingview,Market,,,,,1,5073,5073
Sell,ESM4,ES,E-Mini S&P 500,,,,Canceled,-2,0,0.25, 9:29:53 PM,4/17/2024,1,Tradingview,Stop,,5067.25,,5067.25,,,
Sell,ESM4,ES,E-Mini S&P 500,5072.25,1,9:30:09 PM,Filled,-2,0,0.25,9:30:09 PM,4/17/2024,1,Exit,Market,,,,,1,5072.25,5072.25
